상품명,재질,색상,분류,카테고리,품목코드,제품명,단가,구수제한
2회로(TEL/LAN),메탈,클래식브래스,모듈,기타류,ME2969-2UAC,커버 2P TEL/LAN,55870,
1구,메탈,앤틱브래스,프레임,,ME2981AT,프레임 1구,74430,
2구,메탈,앤틱브래스,프레임,,ME2982AT,프레임 2구,115850,
3구,메탈,앤틱브래스,프레임,,ME2983AT,프레임 3구,193070,
4구,메탈,앤틱브래스,프레임,,ME2984AT,프레임 4구,334890,
5구,메탈,앤틱브래스,프레임,,ME2985AT,프레임 5구,551130,
1회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,506U,인서트 1회로 (3로겸용),18960,
1회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,ME2990AT,커버 1회로 스위치,50320,
1회로(일괄소등),메탈,앤틱브래스,모듈,스위치류,506-20U,인서트 일괄소등 1회로 (3로겸용),42120,
1회로(일괄소등),메탈,앤틱브래스,모듈,스위치류,ME2990AT,커버 1회로 스위치,50320,
2회로(단로전용),메탈,앤틱브래스,모듈,스위치류,505U,인서트 2회로 (단로전용),29730,
2회로(단로전용),메탈,앤틱브래스,모듈,스위치류,ME2995AT,커버 2회로 스위치,56870,
2회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,509U,인서트 2회로 (3로겸용),52890,
2회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,ME2995AT,커버 2회로 스위치,56870,
3회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,5306EU,인서트 단로 3회로 (3로겸용),68340,1
3회로(3로겸용),메탈,앤틱브래스,모듈,스위치류,ME993AT,커버 3회로 스위치,76760,
로터리디밍,메탈,앤틱브래스,모듈,스위치류,1731DD,인서트 로터리디밍 (LED100W),311260,
로터리디밍,메탈,앤틱브래스,모듈,스위치류,ME1740AT,커버 로터리디밍,110910,
콘센트,메탈,앤틱브래스,모듈,콘센트류,ME1520KIAT,콘센트220V (인서트+커버),74430,
방우콘센트,메탈,앤틱브래스,모듈,콘센트류,ME1520KIKLAT,콘센트220V 방우형 (인서트+커버),92200,
콘센트(USB-A),메탈,앤틱브래스,모듈,콘센트류,ME1520-18AAT,콘센트220V USB-A (인서트+커버),353110,
콘센트(USB-C),메탈,앤틱브래스,모듈,콘센트류,ME1520-18CAT,콘센트220V USB-C (인서트+커버),353110,
콘센트(USB-C/A),메탈,앤틱브래스,모듈,콘센트류,ME1520-15CAAT,콘센트220V USB-C/A (인서트+커버),353110,
1회로(TEL/LAN),메탈,앤틱브래스,모듈,기타류,UAE8UPOK6,인서트 1P TEL/LAN,58520,
1회로(TEL/LAN),메탈,앤틱브래스,모듈,기타류,ME2969-1UAAT,커버 1P TEL/LAN,50780,
2회로(TEL/LAN),메탈,앤틱브래스,모듈,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,78160,
2회로(TEL/LAN),메탈,앤틱브래스,모듈,기타류,ME2969-2UAAT,커버 2P TEL/LAN,55870,
메탈사각박스,,,매립박스,매립박스,BS6042M-50,메탈사각박스,4680,
원형박스(H47),,,매립박스,매립박스,9063-02,원형박스(H47) 플라스틱,5620,
원형박스(H61),,,매립박스,매립박스,9064-02,원형박스(H61) 플라스틱,5620,
2구원형박스(H48),,,매립박스,매립박스,9252-22,2구원형박스(H48) 플라스틱,11710,
3구원형박스(H48),,,매립박스,매립박스,9253-22,3구원형박스(H48) 플라스틱,17000,
4구원형박스(H48),,,매립박스,매립박스,9254-22,4구원형박스(H48) 플라스틱,20090,
